3f51a744d5d29893b3c4ba6934e1d003576f2bf4,Jon Dufresne,2018-01-11 05:38:23 -0800,,setup.py,1,0
65cd4493a024d896393c22c58b62e422bf8de5ab,Jon Dufresne,2018-01-04 18:04:05 -0800,,setup.py,0,1
4efc82d568fe15daaa9264e5230c0a2a68796a18,Jon Dufresne,2018-01-04 18:05:08 -0800,,sqlparse/compat.py,0,1
2c2cd33b790088da75d0e944390556cffa2447c5,Jon Dufresne,2018-01-04 17:54:13 -0800,,setup.py,1,1
5b9f3f3e9cc311b7043d94970ae6dbc8fe7fefca,Jesse Claven,2017-12-18 11:18:57 +0100,,sqlparse/keywords.py,27,0
374941644e7006b1b0149b349a7220c346fe876b,Andi Albrecht,2017-12-03 16:36:14 +0100,,sqlparse/formatter.py,6,5
eabaac100830cab2b27018fa947dfcc8c3dffc0b,Andi Albrecht,2017-12-03 16:23:50 +0100,,sqlparse/formatter.py,1,0
43478c60394e09246ee6275f89ae434e429cc5b5,Victor Uriarte,2017-11-29 09:56:06 -0700,,sqlparse/engine/grouping.py;sqlparse/engine/statement_splitter.py;sqlparse/filters/aligned_indent.py;sqlparse/filters/output.py;sqlparse/keywords.py;sqlparse/lexer.py;sqlparse/sql.py;sqlparse/tokens.py;tests/conftest.py;tests/test_cli.py;tests/test_grouping.py;tests/test_parse.py,3;3;2;2;2;1;3;2;2;1;1;2,3;3;2;2;2;1;3;2;2;1;1;2
8f5003bc8d06fc5b3167eb2a1bd24cc1fb399fa4,Johannes Hoff,2017-11-23 12:14:32 -0800,,sqlparse/filters/reindent.py,1,1
acaf00cbaf32e7a14e39bcc0a5fd774a5385faa0,Jon Dufresne,2017-10-28 17:07:09 -0700,,sqlparse/cli.py;tests/test_cli.py,5;4,2;3
490c3d90c6b07a35ec60bf146de115a06a839c2a,Jon Dufresne,2017-10-28 16:52:24 -0700,,tests/test_regressions.py,2,2
63d9cfde9982ab59c059fe8f88315f2359cedc79,Andi Albrecht,2017-09-27 09:11:51 +0200,,sqlparse/__init__.py,1,1
7c3f77133819ff61f19b22b651bf2f7312c04802,Andi Albrecht,2017-09-27 09:08:35 +0200,,sqlparse/__init__.py,1,1
bf9ce73e3720bdbf1cc671f35f4f299511d59650,Andi Albrecht,2017-09-24 09:14:35 +0200,,sqlparse/cli.py;tests/test_cli.py;tests/test_regressions.py,6;5;6,1;4;6
